topic,huang_2025,current_project,relationship,evidence_gap,publication_assessment
Split sampling,"core architecture; silicon proven","VM circuit family appears architecturally related","reproduction direction","successful transistor/PEX timing and noise proof","already covered; not novel alone"
Small CDAC,"1 pF CDAC with 2x20 pF sampling caps","behavioral physical proxy and VM CDAC hierarchy","partial model correspondence","extract actual VM capacitor/bridge/parasitic network","already covered; not novel alone"
Redundant conversion,"20-bit redundant DAC, 2-bit flash plus async SAR","VM exposes 20 physical CDAC bits and 21 latched decisions","strong architectural link","freeze exact bit ownership and EOC","implementation detail unless new measurable benefit"
Foreground calibration,"6 LSB bits measure 14 upper weights recursively","RTL calibrates bit6..bit19 recursively","algorithm-intent reproduction","actual P/N PHY, VCM, reference switching and PVT","already covered; reproduction only"
Offset cancellation,"P/N measurements and subtraction","P/N FSM intent and divide-by-2 average","algorithm-intent reproduction","prove comparator polarity and physical phase sequence","already covered; not novel alone"
Top-bit protection,"special b18/b19 switching limits DAC swing","RTL protection compensation exists","close intent match","prove differential switching and headroom in AMS/PEX","already covered; not novel alone"
SRM,"22 extra comparisons and inverse-statistical reconstruction","22-count Q8 LUT/counter","digital-boundary reproduction","residue hold, physical comparisons, transaction pairing","already covered; LUT alone not novel"
Calibration acceleration,"SS+SRM lowers shorted-input noise and averaging about 10x","surrogate trend and behavioral models","partial trend reproduction","physical calibration-mode noise and energy measurements","already covered; need a new adaptive/energy method"
Async interface ownership,"paper describes architecture but project VM exposes a concrete 20-CDAC/21-decision integration hazard","not implemented; documented adapter requirement","project-specific research opportunity","RTL/formal/AMS/FPGA or silicon proof","possible TCAS-II if method and evidence are substantial"
VCM-aware shared calibration PHY,"paper has compatible calibration operation","not implemented","candidate extension","new phase-sharing circuit, timing proof, energy/linearity benefit","possible TCAS-I/JSSC only with new circuit and silicon"
Adaptive calibration stopping,"fixed 32 P/N pairs in paper/current RTL","not implemented","candidate algorithmic extension","confidence estimator, bias/variance proof, PVT/MC/energy comparison","possible TCAS-I with strong analysis and measurements"
Joint SRM/calibration/headroom policy,"functions are currently separate","only conceptual","candidate co-design","new estimator/control law, hardware cost and silicon/PEX benefit","possible TCAS-I; not a current result"
Production observability,"silicon paper has measurements but project has no DFT path","not implemented","candidate engineering contribution","scan/readback/fault isolation/ATE data","supporting contribution; unlikely JSSC main novelty alone"
Silicon evidence,"93.7 dB SNDR, calibrated INL about +/-0.9 LSB, 5.31 mW","none","not reproduced","GDS, packaged die, raw measurements and lineage","JSSC claim unavailable"
